first6,agency_name,hr_ind,first6_w_hr_ind,grouped_w_hr_ind,grouped_label,agency_num
30640,VILLAGE OF JUSTICE,0,30640_0,Justice_0,Justice,30640000
30650,VILLAGE OF KENILWORTH,0,30650_0,Kenilworth_0,Kenilworth,30650000
30660,VILLAGE OF LA GRANGE,0,30660_0,La Grange_0,La Grange,30660000
30660,VILLAGE OF LA GRANGE LIBRARY FUND,0,30660_0,La Grange_0,La Grange,30660001
30670,VILLAGE OF LA GRANGE PARK,0,30670_0,La Grange Park_0,La Grange Park,30670000
30680,VILLAGE OF LANSING,1,30680_1,Lansing_1,Lansing,30680000
30680,VILLAGE OF LANSING LIBRARY FUND,1,30680_1,Lansing_1,Lansing,30680001
30690,VILLAGE OF LEMONT,0,30690_0,Lemont-Town_0,Lemont,30690000
30700,VILLAGE OF LINCOLNWOOD,1,30700_1,Lincolnwood_1,Lincolnwood,30700000
30710,VILLAGE OF LYNWOOD,0,30710_0,Lynwood_0,Lynwood,30710000
30720,VILLAGE OF LYONS,0,30720_0,Lyons_0,Lyons,30720000
30720,VILLAGE OF LYONS LIBRARY FUND,0,30720_0,Lyons_0,Lyons,30720001
30730,CITY OF MARKHAM,1,30730_1,Markham_1,Markham,30730000
30730,CITY OF MARKHAM LIBRARY FUND,1,30730_1,Markham_1,Markham,30730001
30740,VILLAGE OF MATTESON,0,30740_0,Matteson_0,Matteson,30740000
30740,VILLAGE OF MATTESON LIBRARY FUND,0,30740_0,Matteson_0,Matteson,30740001
30750,VILLAGE OF MAYWOOD,1,30750_1,Maywood_1,Maywood,30750000
30760,VILLAGE OF MC COOK,1,30760_1,McCook_1,McCook,30760000
30770,VILLAGE OF MELROSE PARK,0,30770_0,Melrose Park_0,Melrose Park,30770000
30770,VILLAGE OF MELROSE PARK LIBRARY FUND,0,30770_0,Melrose Park_0,Melrose Park,30770001
30780,VILLAGE OF MERRIONETTE PARK,0,30780_0,Merrionette Park_0,Merrionette Park,30780000
30800,VILLAGE OF MIDLOTHIAN,0,30800_0,Midlothian_0,Midlothian,30800000
30800,VILLAGE OF MIDLOTHIAN LIBRARY FUND,0,30800_0,Midlothian_0,Midlothian,30800001
30810,VILLAGE OF MORTON GROVE,1,30810_1,Morton Grove_1,Morton Grove,30810000
30810,VILLAGE OF MORTON GROVE LIBRARY FUND,1,30810_1,Morton Grove_1,Morton Grove,30810001
30820,VILLAGE OF MOUNT PROSPECT BOND,1,30820_1,Mount Prospect_1,Mount Prospect,30820002
30820,VILLAGE OF MOUNT PROSPECT LIBRARY FUND,1,30820_1,Mount Prospect_1,Mount Prospect,30820001
30820,VILLAGE OF MT PROSPECT,1,30820_1,Mount Prospect_1,Mount Prospect,30820000
30830,VILLAGE OF NILES,1,30830_1,Niles_1,Niles,30830000
30840,VILLAGE OF NORRIDGE,1,30840_1,Norridge_1,Norridge,30840000
30850,CITY OF NORTH LAKE,1,30850_1,North Lake_1,North Lake,30850000
30860,VILLAGE OF NORTH RIVERSIDE,0,30860_0,North Riverside_0,North Riverside,30860000
30870,VILLAGE OF NORTHBROOK,1,30870_1,Northbrook_1,Northbrook,30870000
30870,VILLAGE OF NORTHBROOK LIBRARY FUND,1,30870_1,Northbrook_1,Northbrook,30870001
30880,VILLAGE OF NORTHFIELD,0,30880_0,Northfield_0,Northfield,30880000
30890,VILLAGE OF OAK BROOK,1,30890_1,Oak Brook_1,Oak Brook,30890000
30900,CITY OF OAK FOREST,1,30900_1,Oak Forest_1,Oak Forest,30900000
30910,VILLAGE OF OAK LAWN,1,30910_1,Oak Lawn_1,Oak Lawn,30910000
30910,VILLAGE OF OAK LAWN LIBRARY FUND,1,30910_1,Oak Lawn_1,Oak Lawn,30910001
30920,VILLAGE OF OAK PARK,1,30920_1,Oak Park_1,Oak Park,30920000
30920,VILLAGE OF OAK PARK LIBRARY FUND,1,30920_1,Oak Park_1,Oak Park,30920001
30930,VILLAGE OF OLYMPIA FIELDS,0,30930_0,Olympia Fields_0,Olympia Fields,30930000
30930,VILLAGE OF OLYMPIA FIELDS LIBRARY FUND,0,30930_0,Olympia Fields_0,Olympia Fields,30930001
30940,VILLAGE OF ORLAND HILLS,0,30940_0,Orland Hills_0,Orland Hills,30940000
30950,VILLAGE OF ORLAND PARK,1,30950_1,Orland Park_1,Orland Park,30950000
30950,VILLAGE OF ORLAND PARK LIBRARY FUND,1,30950_1,Orland Park_1,Orland Park,30950001
30960,VILLAGE OF PALATINE,1,30960_1,Palatine_1,Palatine,30960000
30970,CITY OF PALOS HEIGHTS,0,30970_0,Palos Heights_0,Palos Heights,30970000
30970,CITY OF PALOS HEIGHTS LIBRARY FUND,0,30970_0,Palos Heights_0,Palos Heights,30970001
30980,CITY OF PALOS HILLS,0,30980_0,Palos Hills_0,Palos Hills,30980000
30990,VILLAGE OF PALOS PARK,0,30990_0,Palos Park_0,Palos Park,30990000
30990,VILLAGE OF PALOS PARK LIBRARY FUND,0,30990_0,Palos Park_0,Palos Park,30990001
31000,VILLAGE OF PARK FOREST,1,31000_1,Park Forest_1,Park Forest,31000000
31000,VILLAGE OF PARK FOREST LIBRARY FUND,1,31000_1,Park Forest_1,Park Forest,31000001
31010,CITY OF PARK RIDGE,1,31010_1,Park Ridge_1,Park Ridge,31010000
31010,CITY OF PARK RIDGE LIBRARY FUND,1,31010_1,Park Ridge_1,Park Ridge,31010001
31020,VILLAGE OF PHOENIX,1,31020_1,Phoenix_1,Phoenix,31020000
31030,VILLAGE OF POSEN,1,31030_1,Posen_1,Posen,31030000
31040,CITY OF PROSPECT HEIGHTS,0,31040_0,Prospect Heights_0,Prospect Heights,31040000
31050,VILLAGE OF RICHTON PARK,0,31050_0,Richton Park_0,Richton Park,31050000
